Wallet Address,Token Balance,Mint Numbers
0x6502e95f545e65224135b26dd1f1915018f2f948,2,12;13
0x00f33fd847d48ac64f6f8f3ff577264da59fe882,1,10
0x10f418d9daebad69767f2ab67d613503376d2b61,1,11
0x1c7bc3f48d74441bcdc7defe66915b22b4a77dcc,1,5
0x1cab13d773cf6ba49c699cbdbfada7ebe5d5d224,1,6
0x46dc1dd8d015cc773ecffc998860dfb4bfb690a9,1,8
0x53a8d5ad3d58b1a3aa626ea7def1e91c0b1bc8e1,1,7
0x72be7eab0f8f16d7eb657aa3f61e675f54d94311,1,9
0x8815c840321ce565852275ef1bc55e5f75863cbf,1,3
0x95b48346c103269fa0246896ec96a3735f65c3a0,1,4
0xac73aca1205aff5dfc5e31223c33a970854057ae,1,2
0xd0e968a72c5510ea12d69d5b632084f2c446a7cf,1,14
0xe6d0f5d3f57a1715601ff29dfdb5efcb30fe75f7,1,1